10.162.114.153 - - [22/Sep/2016:15:47:47 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:47 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:48 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:48 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:48 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:48 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:49 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:49 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:49 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:49 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:50 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:50 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
10.162.114.153 - - [22/Sep/2016:15:47:50 -0300] "POST /serveletAssincrono/chat HTTP/1.1" 200 -
