127.0.0.1 - - [01/Nov/2016:09:32:41 -0200] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [01/Nov/2016:09:36:07 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 115
10.162.114.154 - - [01/Nov/2016:09:36:14 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 106
10.162.114.154 - - [01/Nov/2016:09:36:14 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 140
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "POST /livraria/login.xhtml;jsessionid=C0EF4CAF7CA71868CCEACB55DCBA587F HTTP/1.1" 200 147
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 200 35044
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70809
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
10.162.114.154 - - [01/Nov/2016:09:36:16 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 200 12682
