127.0.0.1 - - [19/Oct/2016:09:08:44 -0200] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [19/Oct/2016:09:10:32 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4880
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4883
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:36 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4879
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:38 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4876
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:39 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4876
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:41 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4879
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:42 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4879
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:43 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4876
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:44 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4877
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
