127.0.0.1 - - [29/Aug/2016:07:48:48 -0300] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [29/Aug/2016:08:12:04 -0300] "GET / HTTP/1.1" 404 994
10.162.114.153 - - [29/Aug/2016:08:12:08 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3935
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:09 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:12 -0300] "GET /livraria/javax.faces.resource/forms/password-meter.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:15 -0300] "POST /livraria/login.xhtml HTTP/1.1" 200 147
10.162.114.153 - - [29/Aug/2016:08:12:15 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 7709
10.162.114.153 - - [29/Aug/2016:08:12:15 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:15 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:15 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:12:39 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 3931
10.162.114.153 - - [29/Aug/2016:08:13:30 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5390
10.162.114.153 - - [29/Aug/2016:08:13:32 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5390
10.162.114.153 - - [29/Aug/2016:08:13:49 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 200 10231
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 11596
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:13:50 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 5355
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 200 10258
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:38:40 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:39:10 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5390
10.162.114.153 - - [29/Aug/2016:08:39:53 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5699
10.162.114.153 - - [29/Aug/2016:08:39:55 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5699
10.162.114.153 - - [29/Aug/2016:08:39:56 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 500 5699
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/carousel.xhtml HTTP/1.1" 200 10360
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.153 - - [29/Aug/2016:08:40:33 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
