10.162.114.154 - - [10/Aug/2016:09:05:54 -0300] "GET /livraria/javax.faces.resource/forms/password-meter.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 1565
10.162.114.154 - - [10/Aug/2016:09:06:00 -0300] "POST /livraria/login.xhtml HTTP/1.1" 200 2852
10.162.114.154 - - [10/Aug/2016:09:06:04 -0300] "POST /livraria/login.xhtml HTTP/1.1" 200 147
10.162.114.154 - - [10/Aug/2016:09:06:04 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3631
10.162.114.154 - - [10/Aug/2016:09:14:20 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3627
10.162.114.154 - - [10/Aug/2016:09:14:30 -0300] "POST /livraria/login.xhtml HTTP/1.1" 200 147
10.162.114.154 - - [10/Aug/2016:09:14:30 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3627
10.162.114.154 - - [10/Aug/2016:09:14:33 -0300] "POST /livraria/login.xhtml HTTP/1.1" 200 147
10.162.114.154 - - [10/Aug/2016:09:14:33 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 7709
10.162.114.154 - - [10/Aug/2016:09:15:10 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 302 -
10.162.114.154 - - [10/Aug/2016:09:15:10 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3626
